parcela,num,lon,lat,altitud_kml,dist_vecino_m,cuadrante,bbox_west,bbox_east,bbox_south,bbox_north
H80,80,-103.5110620628573,19.61779554429717,0.0,312.90794593093244,SO,-103.51196206285731,-103.5101620628573,19.61689554429717,19.61869554429717
H81,81,-103.513120060683,19.61991823018052,0.0,163.61559030322243,SO,-103.514020060683,-103.51222006068299,19.61901823018052,19.62081823018052
H82,82,-103.514415855126,19.62073465959264,0.0,163.61559030322243,SO,-103.515315855126,-103.513515855126,19.619834659592637,19.62163465959264
H83,83,-103.5148556403709,19.61823643269025,0.0,261.012930395943,SO,-103.5157556403709,-103.5139556403709,19.617336432690248,19.61913643269025
H84,84,-103.5173207877669,19.61655830108952,0.0,203.33289663956927,SO,-103.51822078776691,-103.5164207877669,19.615658301089518,19.61745830108952
H85,85,-103.515910301509,19.61530473873262,0.0,203.33289663956927,SO,-103.516810301509,-103.515010301509,19.614404738732617,19.61620473873262
H86,86,-103.5176299849256,19.6126488644727,0.0,345.7558695481578,SO,-103.5185299849256,-103.5167299849256,19.6117488644727,19.6135488644727
H87,87,-103.5147577998847,19.61074534974949,0.0,279.78050380291415,SO,-103.5156577998847,-103.5138577998847,19.609845349749488,19.61164534974949
H88,88,-103.51816450361,19.60922824229959,0.0,352.0368758096763,SO,-103.51906450361,-103.51726450361,19.60832824229959,19.61012824229959
H89,89,-103.5241137226966,19.60972792389859,0.0,196.99759949027714,SO,-103.5250137226966,-103.5232137226966,19.608827923898588,19.61062792389859
H90,90,-103.5257551584595,19.60887219704412,0.0,196.99759949027714,SO,-103.5266551584595,-103.5248551584595,19.60797219704412,19.609772197044123
H91,91,-103.5233747651936,19.6076221074036,0.0,246.25030015617278,SO,-103.5242747651936,-103.52247476519359,19.6067221074036,19.6085221074036
H92,92,-103.5215470361636,19.60560940953978,0.0,226.97855700484627,SO,-103.5224470361636,-103.5206470361636,19.60470940953978,19.606509409539782
H93,93,-103.526896999217,19.60208824925957,0.0,526.4885942053386,SO,-103.527796999217,-103.525996999217,19.601188249259568,19.60298824925957
H94,94,-103.5219082769416,19.60248937810072,0.0,260.67972512838827,SO,-103.5228082769416,-103.5210082769416,19.60158937810072,19.603389378100722
H95,95,-103.5188596816631,19.60312115256844,0.0,165.96620319016506,SO,-103.5197596816631,-103.5179596816631,19.60222115256844,19.604021152568443
H96,96,-103.520077159053,19.60407294309323,0.0,165.96620319016506,SO,-103.520977159053,-103.519177159053,19.603172943093227,19.60497294309323
H97,97,-103.5194188749723,19.60595122525007,0.0,219.61473131859742,SO,-103.5203188749723,-103.5185188749723,19.60505122525007,19.60685122525007
H98,98,-103.514985563467,19.60823320763247,0.0,279.78050380291415,SO,-103.515885563467,-103.51408556346699,19.60733320763247,19.60913320763247
H99,99,-103.5158544085341,19.60388855172959,0.0,327.29440650140293,SO,-103.5167544085341,-103.5149544085341,19.602988551729588,19.60478855172959
H100,100,-103.5003223970978,19.6382574968776,0.0,689.6014443915074,NO,-103.5012223970978,-103.4994223970978,19.6373574968776,19.6391574968776
